k,EventType,EventID,rMATS,SUPPA2,ESGq
13,SE,chrX:746116-746279-746304-746516,-0.406,nan,-0.43094943658990903
13,SE,chr3R:26256308-26256473-26256624-26256932,-0.077,-0.1469473481,-0.04650505778644776
13,SE,chr3L:1525701-1526333-1526399-1527189,-0.099,nan,nan
13,SE,chr3R:4710353-4710615-4710721-4710897,-0.044,-0.156661991,-0.20163999951308667
13,SE,chrX:20233444-20234327-20234361-20234774,-0.104,nan,-0.7000000000000001
13,SE,chr3L:8627731-8634582-8634784-8635001,0.058,nan,nan
13,SE,chr2R:23067308-23067946-23068129-23070606,0.029,nan,nan
13,SE,chrX:22485636-22485942-22486085-22487057,0.238,nan,0.25084839359527034
13,SE,chrX:22463273-22463691-22465523-22466164,0.68,nan,0.5208326722145483
13,SE,chrX:2645280-2669633-2669754-2669912,-0.191,nan,nan
13,SE,chr2R:9255710-9257409-9258061-9258839,-0.117,nan,-0.3775839622368478
13,SE,chr3R:13429770-13430097-13430751-13430922,0.394,nan,0.39971603458067767
13,SE,chr3L:14200808-14201621-14201667-14212193,-0.686,-0.6661906085,-0.5384863221995594
13,SE,chr3R:24562943-24576463-24576519-24582712,-0.06,nan,0.12804855585027997
13,SE,chr3L:9113488-9123615-9123777-9125166,0.167,nan,nan
13,SE,chr4:1038438-1040012-1040079-1043467,-0.105,0.5005510374,-0.06710775788306866
13,SE,chr2L:12206131-12240867-12241781-12271590,nan,-0.6121552923,-0.05698905461310466
13,SE,chr2L:17368389-17370842-17371821-17372564,-0.074,nan,-0.08122011800060124
13,SE,chr3R:4284407-4288071-4288084-4295128,0.107,nan,0.008585640949139939
13,SE,chr3R:10298592-10299001-10299059-10299633,0.381,nan,0.39037324496097137
13,SE,chr2L:835548-835703-836172-836545,-0.07,nan,-0.07655936454110027
13,SE,chr2L:4994995-5004171-5004208-5008180,0.421,0.4272676066,0.3795729620607989
13,SE,chr3R:13698282-13698342-13698860-13699067,-0.309,-0.1972937706,-0.27639415929996425
13,SE,chrX:15338705-15338836-15338925-15339626,0.052,nan,nan
13,SE,chr2R:7640618-7647305-7647678-7648296,-0.125,nan,-0.16914964603588328
13,SE,chr2R:12612885-12613566-12614346-12615906,-0.176,0.5906475882,0.29196218338456015
13,SE,chrX:5743913-5744355-5744700-5747101,nan,0.3767679789,0.0
13,SE,chr2L:8663252-8664157-8664221-8666035,-0.495,nan,nan
13,SE,chr2R:10048487-10048998-10049222-10049407,-0.356,nan,-0.016705330094072823
13,SE,chr3R:28907338-28907709-28911178-28919491,0.452,nan,0.20922261654348873
13,SE,chr3R:8008662-8008775-8008793-8008846,0.067,nan,nan
13,SE,chr2L:20874433-20875079-20875137-20876586,0.695,nan,nan
13,SE,chr4:666933-668419-668575-669129,0.096,nan,0.06644292441231392
13,SE,chr2R:7467051-7467220-7467317-7467482,0.233,nan,0.10216990652330103
13,SE,chr3L:16066110-16066184-16066314-16066612,-0.505,-0.1739662456,-0.5019120936442789
13,SE,chr2L:13535027-13546910-13547304-13549131,-0.194,nan,nan
13,SE,chr3L:1635685-1635936-1636010-1636817,0.249,nan,0.14734729647771466
13,SE,chr3R:4660400-4670796-4670851-4680778,-0.156,nan,nan
13,SE,chr3L:2041498-2041565-2041587-2041709,-0.204,nan,-0.20488629566496436
13,SE,chr3R:26575449-26576356-26576642-26578720,-0.281,nan,-0.2629197810100399
13,SE,chr3L:7661507-7662470-7662891-7663258,0.161,nan,nan
13,SE,chr3L:20965756-20965809-20965912-20966128,0.106,nan,nan
13,SE,chr2R:17526318-17526833-17526981-17527213,0.238,nan,0.5452991452991452
13,SE,chr3L:27844605-27847424-27847486-27856783,-0.023,nan,-0.03182161349714541
13,SE,chr2R:1072440-1074271-1074365-1076634,-0.102,-0.2511075266,-0.16119044008257966
