k,EventType,EventID,rMATS,SUPPA2,ESGq
13,SE,chr3L:3121200-3126866-3127026-3127652,-0.196,nan,-0.18284618335251246
13,SE,chr3R:13021643-13024799-13025030-13025388,0.172,nan,0.16857600505113238
13,SE,chr2R:10296048-10296434-10300269-10304623,-0.07,nan,-0.056058675090318255
13,SE,chr2R:16789916-16790155-16790267-16790738,-0.184,nan,-0.10656983590105316
13,SE,chr3R:24068065-24101295-24102047-24106824,nan,0.477432245,0.02653977406859287
13,SE,chr2L:5068395-5069126-5069220-5070096,-0.193,-0.187030732,-0.17129510646558113
13,SE,chr2L:20874433-20875637-20875725-20876586,-0.236,nan,nan
13,SE,chr3R:27066666-27067121-27067200-27069143,-0.203,-0.4056237957,nan
13,SE,chrX:13596749-13599415-13599458-13600069,0.472,nan,0.45920704974338566
13,SE,chr3L:1525393-1525641-1525701-1527189,0.335,nan,nan
13,SE,chr2R:19473968-19474527-19474642-19478751,-0.053,nan,0.01612648298340319
13,SE,chr2L:10294630-10294862-10295060-10295208,0.091,nan,nan
13,SE,chr3L:9401368-9401656-9401719-9401916,0.391,nan,nan
13,SE,chr3L:7535645-7536710-7536770-7536975,-0.197,nan,-0.45070255581324514
13,SE,chr3L:7661507-7662470-7662891-7663258,0.155,nan,nan
13,SE,chr2L:22325847-22356902-22357048-22363429,nan,-0.9444635169,nan
13,SE,chr3L:5754267-5755553-5755626-5756204,-0.15,nan,nan
13,SE,chr3R:9507387-9508290-9508430-9509435,nan,0.1467529727,0.07109980333911325
13,SE,chr3L:7933235-7933770-7933792-7935377,nan,0.3705730781,0.11224465054252292
13,SE,chr2R:21507723-21510105-21510202-21510866,0.071,nan,nan
13,SE,chrX:9112240-9112749-9112768-9113642,0.182,nan,0.1446167701787768
13,SE,chr3L:1528077-1529105-1529229-1531390,nan,0.2044613432,0.15531545091293514
13,SE,chrX:9098414-9099313-9099462-9100512,0.336,nan,nan
13,SE,chr2R:10061365-10061617-10061897-10062099,0.174,nan,0.16565863175994844
13,SE,chr4:1220689-1221261-1221283-1221490,0.149,0.2653974058,0.2810885831169806
13,SE,chr2R:5121653-5121768-5121841-5121982,-0.434,-0.401661374,nan
13,SE,chr3L:9830786-9830999-9831441-9832477,0.06,nan,nan
13,SE,chr2L:20875137-20876586-20876617-20876911,-0.66,nan,nan
13,SE,chr2R:21205542-21205745-21205815-21206876,-0.356,nan,-0.48245098039215684
13,SE,chr3R:7193689-7194197-7194459-7198327,-0.458,nan,nan
13,SE,chrX:9109757-9110617-9111006-9111081,-0.123,nan,nan
13,SE,chr3R:10003651-10004409-10004443-10004655,nan,-0.326879024,-0.21141950867560616
13,SE,chr2L:11103170-11103322-11103410-11103843,-0.517,-0.526318474,-0.5130784936073588
13,SE,chr3R:22727492-22728842-22729134-22729208,0.564,nan,0.46866180414567504
13,SE,chr2L:22536379-22536536-22536566-22536620,-0.007,nan,nan
13,SE,chr3L:8357906-8358015-8358073-8358555,-0.16,nan,-0.09888473377621526
13,SE,chr2R:8076449-8077259-8077293-8077730,-0.276,nan,-0.27173816085174357
13,SE,chr3R:4284407-4288071-4288084-4295119,-0.228,nan,nan
13,SE,chr2L:11803899-11806047-11806158-11809125,-0.12,nan,-0.19958720330237367
13,SE,chr4:190062-191308-191387-193343,-0.255,-0.6757299807,-0.36274018379281525
13,SE,chr3R:11197849-11206520-11206626-11206905,-0.921,nan,nan
13,SE,chrX:8224048-8225078-8226084-8227870,0.34,nan,0.4158730158730159
13,SE,chr3R:4642009-4642288-4642429-4642568,0.33,nan,-0.048420256991685506
13,SE,chr3R:28521701-28521814-28522232-28522481,0.15,nan,0.1053154977721047
13,SE,chr3L:7930746-7931231-7931250-7931754,nan,0.3003581501,0.2892192363890478
13,SE,chrX:18113576-18113729-18113923-18114610,-0.011,nan,nan
13,SE,chr3R:20926978-20927187-20927467-20928679,0.036,nan,nan
13,SE,chr2R:12200242-12200427-12200551-12200774,-0.124,nan,nan
13,SE,chr2R:12673340-12673898-12673929-12676124,-0.652,nan,-0.5422211785037689
13,SE,chr3R:20948830-20959236-20959381-20962214,0.192,nan,nan
13,SE,chr3L:8786438-8786621-8787345-8787518,0.211,nan,0.2536304436304436
13,SE,chr3L:10587688-10587842-10587897-10590326,0.21,nan,nan
13,SE,chr3R:13021643-13024823-13025045-13025388,nan,0.1283651965,0.060329639102017496
13,SE,chr3R:16437339-16437792-16438000-16438064,0.196,nan,0.15873111287487118
13,SE,chr2R:18423872-18423968-18424008-18424126,nan,-0.320218369,nan
13,SE,chr3R:19013450-19018022-19018484-19020928,-0.324,nan,-0.16307189542483674
13,SE,chr3R:6001737-6002062-6003099-6003672,-0.049,nan,-0.073801834265936
13,SE,chr2R:12200040-12200115-12200242-12200427,0.383,nan,nan
13,SE,chrX:271876-272421-272884-273182,-0.682,nan,-0.8031746031746032
13,SE,chr2R:24883735-24884525-24884581-24887222,-0.13,-0.4078687929,-0.11259225818148122
13,SE,chr2R:23413134-23413532-23413794-23414496,-0.095,-0.1555935124,-0.09596001980032134
13,SE,chr3L:12852278-12852426-12852529-12852615,-0.147,nan,-0.1435297184078097
13,SE,chr2R:21395046-21398064-21398581-21399174,0.499,0.3738890952,0.5719654513748033
13,SE,chr3L:16902192-16902377-16906751-16906822,-0.569,-0.4217298194,-0.44852745728406124
13,SE,chr3L:10636094-10636425-10636441-10636623,-0.427,-0.389179101,-0.4212678789317876
13,SE,chrX:21036638-21037609-21037995-21038745,-0.186,-0.1678242824,-0.17734995570440146
13,SE,chr3R:30573073-30577178-30577559-30578116,0.093,0.2461069284,0.06732304164551939
13,SE,chrX:6809138-6809373-6809407-6809484,-0.661,nan,-0.4967236467236468
13,SE,chr3R:5762756-5776951-5777126-5780863,0.054,nan,0.004893589306581458
